ID,EQUIPO_ID,PUNTOS,PUNTOS_MEDIA,NOMBRE,APODO,SLUG,POSICION_ID,POSICION,VALOR_MERCADO,ESTADO_JUGADOR,SEMANA_1,SEMANA_2,SEMANA_3,SEMANA_4,SEMANA_5,SEMANA_6,SEMANA_7,SEMANA_8,SEMANA_9,SEMANA_10,SEMANA_11,SEMANA_12,SEMANA_13,SEMANA_14,SEMANA_15,SEMANA_16,SEMANA_17,SEMANA_18,SEMANA_19,SEMANA_20,SEMANA_21,SEMANA_22,SEMANA_23,SEMANA_24,SEMANA_25,SEMANA_26,SEMANA_27,SEMANA_28,SEMANA_29,SEMANA_30,SEMANA_31,SEMANA_32,SEMANA_33,SEMANA_34,SEMANA_35,SEMANA_36,SEMANA_37,SEMANA_38,SEMANA_1_AGGR,SEMANA_2_AGGR,SEMANA_3_AGGR,SEMANA_4_AGGR,SEMANA_5_AGGR,SEMANA_6_AGGR,SEMANA_7_AGGR,SEMANA_8_AGGR,SEMANA_9_AGGR,SEMANA_10_AGGR,SEMANA_11_AGGR,SEMANA_12_AGGR,SEMANA_13_AGGR,SEMANA_14_AGGR,SEMANA_15_AGGR,SEMANA_16_AGGR,SEMANA_17_AGGR,SEMANA_18_AGGR,SEMANA_19_AGGR,SEMANA_20_AGGR,SEMANA_21_AGGR,SEMANA_22_AGGR,SEMANA_23_AGGR,SEMANA_24_AGGR,SEMANA_25_AGGR,SEMANA_26_AGGR,SEMANA_27_AGGR,SEMANA_28_AGGR,SEMANA_29_AGGR,SEMANA_30_AGGR,SEMANA_31_AGGR,SEMANA_32_AGGR,SEMANA_33_AGGR,SEMANA_34_AGGR,SEMANA_35_AGGR,SEMANA_36_AGGR,SEMANA_37_AGGR,SEMANA_38_AGGR
53,ATM,101,4.04,"Jan Oblak","Oblak",oblak,1,Portero,7836555,ok,4,9,2,6,7,2,4,8,2,2,1,8,2,10,4,1,0,0,8,5,6,1,-2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,15,21,28,30,34,42,72,44,45,53,55,65,69,70,70,70,80,85,91,86,84,85,101,101,101,101,101,101,101,101,101,101,101,101,101,101
55,ATM,71,3.736842105263158,"José María Giménez de Vargas","Giménez",gimenez,2,Defensa,4027747,ok,5,9,2,0,6,4,0,10,0,0,-1,8,6,0,2,0,0,0,8,0,2,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,16,16,22,26,26,36,36,36,35,43,49,49,51,51,51,51,59,59,69,61,67,67,71,71,71,71,71,71,71,71,71,71,71,71,71,71
56,ATM,66,3.473684210526316,"Stefan Savić","Savić",savic,2,Defensa,3992394,ok,5,5,2,2,6,2,2,9,0,0,0,9,0,7,6,1,0,0,0,0,1,0,-1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,12,14,20,22,24,33,33,33,33,42,42,49,55,56,56,56,56,56,57,56,55,56,66,66,66,66,66,66,66,66,66,66,66,66,66,66
58,ATM,73,3.3181818181818183,"Jorge Resurrección Merodio","Koke",koke,3,Centrocampista,2514509,doubtful,3,6,3,3,0,0,0,6,0,3,0,7,3,5,3,4,2,4,0,2,2,3,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,15,15,15,15,21,52,24,24,31,34,39,42,46,48,52,52,54,62,57,59,60,73,73,73,73,73,73,73,73,73,73,73,73,73,73
59,ATM,100,5.555555555555555,"Thomas Lemar","Lemar",thomas-lemar,3,Centrocampista,12634775,doubtful,6,5,2,9,0,0,0,16,7,2,0,0,0,4,13,1,2,8,9,1,5,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,13,22,22,22,22,38,75,40,40,40,40,44,57,58,60,68,84,85,100,89,89,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
61,GET,10,1.1111111111111112,"Víctor Machín Pérez","Vitolo",vitolo,3,Centrocampista,561780,ok,3,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,7,7,7,7,7,7,7,7,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
65,ATM,145,5.8,"Ángel Correa","Correa",angel-correa,4,Delantero,36563882,ok,13,9,5,2,5,4,4,2,1,2,1,9,8,4,8,9,2,2,15,9,2,7,2,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,27,29,34,38,42,44,90,46,47,56,64,68,76,85,87,89,105,114,138,121,123,136,145,145,145,145,145,145,145,145,145,145,145,145,145,145
67,ATM,67,3.9411764705882355,"Marcos Llorente","Marcos Llorente",llorente-marcos,3,Centrocampista,10025040,ok,0,4,4,4,6,5,4,6,0,0,0,0,0,5,7,3,2,2,0,5,3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,18,23,27,33,33,33,33,33,33,38,45,48,50,52,52,57,61,61,61,58,67,67,67,67,67,67,67,67,67,67,67,67,67,67
68,ATH,135,6.428571428571429,"Unai Simón Mendibil","Unai Simón",unai,1,Portero,9403547,ok,0,0,6,8,8,2,7,10,9,5,5,3,8,11,2,11,4,0,5,9,0,9,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,22,24,31,41,84,46,51,54,62,73,75,95,99,99,104,113,113,122,126,127,135,135,135,135,135,135,135,135,135,135,135,135,135,135
71,ATH,90,3.75,"Mikel Balenziaga Oruesagasti","Balenziaga",balenziaga,2,Defensa,1959550,ok,7,7,7,5,7,0,2,6,3,3,0,0,3,7,1,0,3,0,4,7,0,8,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,21,26,33,33,35,41,58,44,44,44,47,54,55,58,61,61,65,72,61,80,86,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90
